title,director,genre,release date
Cloudy With A Chance of Meatballs 2,,Family,
On Her Majesty’s Secret Service,,Action,
Broken Vows,,Thriller,
Cheaper by the Dozen,,Family,
Agents of Chaos,,Documentary ,
Gangs of New York,,Action,
Rushmore,,Comedy,
Long Gone Summer,,Documentary,
Inside Man,,Thriller,
Avatar,,Action,
Den of Thieves,,Thriller,
Cloudy With A Chance of Meatballs,,Family,
HP & The Order of the Phoenix,,Adventure,
Artemis Fowl,,Action,
Murder in the First,,Drama,
Red,,Action,
The Big Short,,Crime,
The Frozen Ground,,Thriller,
Our House,,Horror,
The Thin Red Line,,Drama,
Basic Instinct,,Thriller,
Requiem for a Dream,,Drama,
The Accountant,,Action,
Smart House,,Family,
HP & The Prisoner of Azkaban,,Adventure ,
Accepted,,Comedy,
You Only Live Twice,,Action,
Seven Psychopaths,,Crime,
Memento,,Mystery,
American Psycho,,Psychological,
Final Destination,,Action,
The Rainmaker,,Crime,
Gone Fishin',,Comedy,
Outbreak,,Action,
In the Tall Grass,,Horror,
Drive,,Drama,
Lost Girls,,Drama,
Kingpin,,Comedy,
Primal Fear,,Mystery,
Wargames,,Action,
Silence of the Lambs,,Thriller,
The Secret Life of Pets 2,,Comedy,
True Grit,,Action,
Extraction,,Action,
Semi-Pro,,Comedy,
Angels and Demons,,Adventure ,
Maze Runner,,Adventure,
Vanilla Sky,,Mystery,
Girl with the Dragon Tattoo,,Thriller,
I'm Thinking About Ending Things,,,
Eternal Sunshine of the Spotless Mind,Michel Gondry,,
Sorry to Bother You,Boots Riley,,
Burning,Lee Chang-Dong,,
Harry Potter and the Deathly Hallows Part 1,David Yates,,
Harry Potter and the Half Blood Prince,David Yates,,
Train to Busan,Yeon Sang-ho,,
The Invitation,Karyn Kusama,,
Enemy,Denis Villeneuve,,
Thunder Road,Jim Cummings,,
You Were Never Really Here,Lynne Ramsay,,
Good Time,Josh Safdie & Benny Safdie,,
The Big Sick,Michael Showalter,,
1917,Sam Mendes,,
Star Wars: Rise of Skywalker,J.J. Abrams,,
David Byrne's American Utopia,,,
The Rider,,,
Soul,,,
The Farewell,,,
Crazy Stupid Love,,,
The Notebook,,,
Spy,,,2015-06-05
Zodiac,,,2007-03-02
American Pickle,,,2020-08-06
Once Upon a Time in Hollywood,,,2019-07-26
Sideways,,,
Beginners,,,2011-06-03
Reservoir Dogs,,,1992-10-08
Eastern Promises,,,2020-08-14
Hacksaw Ridge,,,
American Beauty,,,
Annihilation,,,
Harry Potter and the Deathly Hallows Part 2,,,
Slow West,,,2015-05-15
Waves,,,2019-11-15
Arrival,,,2016-08-02
The Imitation Game,,,2014-11-28
Scooby Doo: The Movie,,,2002-06-08
The Spectacular Now,,,
The Last Black Man in San Francisco,,,2019-06-07
Django Unchained,,,
The Rover,,,2014-06-12
The Babadook,,,
The Darjeeling Limited,,,
Hereditary,,,2018-06-08
It Comes at Night,,,
The End of the Tour,,,2015-01-23
Bottle Rocket,,,
Krisha,,,
Star Wars: The Phantom Menace,,,
Inside Lleyn Davis,,,2013-12-06
Inside Out,,,
Toy Story 2,,,
A Most Violent Year,,,2014-12-13
Wall-E,,,
There Will Be Blood,,,2007-12-26
The One I Love,,,
The Grand Budapest Hotel,,,2014-03-28
Austin Powers: International Man of Mystery,,,
Rogue One: A Star Wars Story,,,2016-12-16
Brave,,,
The Simpsons Movie,,,2007-07-27
Argo,,,2012-10-12
They Came Together,,,
Slumdog Millionaire,,,2008-11-12
Manchester by the Sea,,,2016-11-18
Bernie,,,
Under The Skin,,,
Three Billboards Outside of Ebbing Missouri,,,2017-11-10
Beautiful Boy,,,
Stoker,,,
The Square,,,
Star Wars: The Last Jedi,,,
Citizen Kane,,,1941-10-05
Blow the Man Down,,,
Greener Grass,,,
The Report,,,
Star Wars: The Force Awakens,,,
Star Wars: Return of the Jedi,,,
Star Wars: Empire Strikes Back,,,1980-05-21
Portrait of a Lady on Fire,,,2019-12-06
The Kids are Alright,,,2018-10-16
Star Wars: A New Hope,,,
Star Wars: Revenge of the Sith,,,
The Invisible Man,,,
Emma,,,
Squid and the Whale,,,2005-10-05
Steve Jobs,,,
Room,,,
The Assistant,,,
Bombshell,,,
Birds of Prey,,,
A Separation,,,2011-12-30
Judy,,,
Harriet,,,
Logan Lucky,,,
Ford v Ferrari,,,
I Lost My Body,,,2019-11-15
Popstar: Never Stop Never Stopping,,,2016-04-24
Little Women (2019),,,
Rocketman,,,
Pain and Glory,,,2019-10-04
1917,,,2019-12-25
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
